price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
479.900 kr.;2022;7500;2022-02-28;El;75.1;498;A;9800
399.900 kr.;2021;38000;2020-12-28;El;75.1;498;A;8600
469.800 kr.;2020;61000;2020-06-19;El;69;498;A;4600
377.700 kr.;2019;49000;2019-09-11;El;66.5;483;A;2730
365.900 kr.;2021;7000;2022-01-13;El;77.8;325;A;9440
349.900 kr.;2021;6000;2021-12-11;El;77.8;325;A;5250
394.995 kr.;2022;20000;2022-03-29;El;75.1;498;A;2765
339.900 kr.;2021;86000;2020-12-01;El;75.1;476;A;5000
315.000 kr.;2019;99000;2019-02-01;El;69;491;A;8700
264.900 kr.;2019;106000;2019-09-01;El;74.1;306;A;7000
369.900 kr.;2021;4000;2022-01-26;El;77.8;325;A;9440
383.900 kr.;2021;25500;2020-12-15;El;75.1;498;A;2670
430.000 kr.;2021;9000;2020-12-01;El;75.1;476;A;4040
507.000 kr.;2022;0;2022-09-30;El;75.1;498;A;2630
454.800 kr.;2021;13000;2021-09-17;El;75.1;498;A;7200
469.900 kr.;2021;500;2021-11-23;El;66.9;513;A;8600
449.900 kr.;2022;15000;2022-03-21;El;75.1;498;A;8800
454.000 kr.;2022;0;2022-09-30;El;74.1;283;A;2630
349.900 kr.;2022;15000;2022-03-08;El;76.7;325;A;7160
454.000 kr.;2022;0;2022-09-30;El;74.1;283;A;2630
507.000 kr.;2022;0;2022-09-30;El;75.1;498;A;2630
507.000 kr.;2022;0;2022-09-30;El;75.1;498;A;2630
355.000 kr.;2021;9000;2021-08-19;El;77.8;325;A;6400
309.000 kr.;2021;21000;2021-08-01;El;77.8;325;A;2100
288.000 kr.;2020;49000;2020-12-01;El;74.1;325;A;9800
379.000 kr.;2020;59000;2020-03-01;El;69;442;A;2450
289.000 kr.;2019;34000;2019-06-01;El;74.1;306;A;2100
359.900 kr.;2021;22000;2022-01-26;El;77.8;325;A;9440
477.000 kr.;2021;21000;2021-08-26;El;66.9;513;A;2630
395.500 kr.;2021;48000;2021-03-01;El;75.1;498;A;6100
445.000 kr.;2022;12000;2022-03-09;El;66.9;513;A;6400
409.900 kr.;2021;18226;2021-06-01;El;75.1;498;A;2860
309.000 kr.;2021;44000;2021-03-01;El;77.8;283;A;2630
358.000 kr.;2021;15000;2021-08-01;El;77.8;325;A;4220
328.900 kr.;2021;30000;2021-05-24;El;77.8;325;A;8250
417.000 kr.;2021;25000;2021-09-22;El;75.1;498;A;7000
394.995 kr.;2022;19000;2022-04-04;El;75.1;498;A;2765
449.500 kr.;2022;5900;2021-12-13;El;75.1;498;A;2670
348.800 kr.;2020;43600;2020-02-26;El;69;498;A;2670
340.000 kr.;2019;24000;2019-09-01;El;69;491;A;2930
399.900 kr.;2021;15000;2021-09-28;El;75.1;476;A;2860
429.900 kr.;2021;15000;2021-06-15;El;66.9;513;A;5250
299.995 kr.;2019;107000;2019-05-01;El;75.1;283;A;6400
414.800 kr.;2021;5000;2021-11-18;El;75.1;498;A;3460
379.900 kr.;2020;25000;2020-07-23;El;69;491;A;8660
507.000 kr.;2022;0;2022-10-05;El;75.1;498;A;2630
399.900 kr.;2021;46000;2021-03-26;El;75.1;498;A;5210
354.980 kr.;2021;27000;2021-06-10;El;77.8;325;A;4200
308.000 kr.;2020;62000;2020-09-01;El;74.1;283;A;9610
389.000 kr.;2021;25000;2021-05-01;El;75.1;495;A;8240
345.000 kr.;2020;46000;2020-09-01;El;69;442;A;4000
349.000 kr.;2019;60000;2019-06-26;El;69;440;A;9500
415.000 kr.;2022;14800;2022-03-01;El;75.1;498;A;7430
418.000 kr.;2022;13600;2022-03-01;El;75.1;498;A;7430
379.900 kr.;2021;53500;2020-12-03;El;66.9;513;A;2605
249.000 kr.;2020;100000;2020-05-01;El;74.1;306;A;7330
329.700 kr.;2021;14000;2021-07-01;El;77.8;325;A;4700
314.500 kr.;2019;61000;2019-02-01;El;69;462;A;6000
310.000 kr.;2020;24000;2020-12-01;El;74.1;325;A;2300
364.800 kr.;2021;36000;2021-09-03;El;75.1;498;A;8620
399.880 kr.;2022;22000;2022-02-22;El;75.1;498;A;8620
399.900 kr.;2019;65400;2019-04-02;El;66.5;490;A;5683
348.800 kr.;2021;26000;2021-09-07;El;77.8;325;A;2730
438.800 kr.;2021;19905;2021-05-27;El;75.1;498;A;2670
419.900 kr.;2021;16500;2021-12-02;El;75.1;495;A;5250
344.900 kr.;2022;6990;2022-03-17;El;74.1;283;A;9280
359.700 kr.;2022;10000;2022-03-15;El;76.7;325;A;4700
359.900 kr.;2022;22990;2022-03-28;El;74.1;283;A;9280
399.800 kr.;2021;39000;2020-12-27;El;66.9;513;A;8940
419.800 kr.;2021;13000;2021-11-09;El;75.1;498;A;6400
445.000 kr.;2022;18000;2022-02-01;El;66.9;513;A;9700
319.800 kr.;2021;27000;2021-09-06;El;77.8;325;A;8620
319.000 kr.;2019;30000;2019-06-01;El;69;462;A;8250
409.995 kr.;2021;10000;2021-12-01;El;75.1;498;A;2765
407.995 kr.;2022;11000;2022-06-09;El;75.1;498;A;2765
359.995 kr.;2021;28000;2021-11-24;El;75.1;498;A;2765
419.800 kr.;2022;10000;2022-03-02;El;75.1;498;A;6400
395.000 kr.;2021;19000;2021-09-21;El;75.1;498;A;6400
384.900 kr.;2021;43000;2020-12-01;El;75.1;495;A;9500
359.900 kr.;2019;40000;2019-05-28;El;75.1;283;A;6000
429.900 kr.;2022;14000;2022-02-01;El;66.9;513;A;8361
387.000 kr.;2021;32000;2021-03-30;El;75.1;498;A;7000
379.900 kr.;2022;8000;2022-03-22;El;74.1;283;A;7100
489.900 kr.;2022;15000;2022-07-01;El;75.1;498;A;7100
494.900 kr.;2022;15000;2022-07-01;El;75.1;498;A;7100
344.890 kr.;2021;17000;2021-11-16;El;77.8;325;A;2770
389.000 kr.;2020;38000;2021-01-01;El;66.5;513;A;2300
384.890 kr.;2021;22700;2021-12-01;El;75.1;495;A;2770
379.900 kr.;2020;51000;2020-03-25;El;69;491;A;7160
416.900 kr.;2021;44000;2020-12-01;El;75.1;476;A;9690
389.500 kr.;2021;37000;2021-02-17;El;75.1;495;A;2770
429.800 kr.;2021;7000;2021-11-04;El;75.1;498;A;6800
479.900 kr.;2022;15000;2022-07-01;El;75.1;498;A;7100
428.000 kr.;2021;9100;2021-12-22;El;75.1;498;A;9000
395.000 kr.;2021;20000;2021-11-01;El;75.1;495;A;7400
416.000 kr.;2020;38000;2020-10-01;El;66.5;513;A;8230
429.900 kr.;2022;6000;2022-02-28;El;75.1;498;A;4520
378.800 kr.;2019;68000;2019-02-14;El;66.5;483;A;7400
369.000 kr.;2022;6000;2022-02-01;El;74.1;283;A;7430
329.995 kr.;2021;14000;2021-10-19;El;77.8;325;A;2765
407.995 kr.;2022;11000;2022-02-28;El;75.1;498;A;2765
384.995 kr.;2021;13000;2021-12-07;El;75.1;498;A;2765
334.995 kr.;2022;17000;2022-02-18;El;74.1;283;A;2765
342.995 kr.;2022;12000;2022-02-14;El;74.1;283;A;2765
369.900 kr.;2022;17000;2021-09-07;El;76.7;325;A;2750
409.900 kr.;2022;9800;2022-03-01;El;75.1;498;A;8361
309.900 kr.;2020;40000;2020-12-15;El;74.1;325;A;2670
314.990 kr.;2020;32900;2020-06-26;El;74.1;283;A;2670
359.000 kr.;2019;85000;2019-04-01;El;66.5;490;A;8370
400.000 kr.;2021;57000;2021-03-18;El;66.9;513;A;8210
409.800 kr.;2022;18000;2022-02-25;El;75.1;498;A;2630
