price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
107.900 kr.;2019;79000;2018-09-07;Benzin;26.2;60;M;7500
94.900 kr.;2018;82000;2017-11-15;Benzin;24.4;60;M;8722
104.900 kr.;2017;57000;2016-11-15;Benzin;24.4;60;A;3460
58.980 kr.;2013;148000;2012-10-10;Benzin;24.4;60;M;5464
69.999 kr.;2015;106450;2015-02-16;Benzin;24.4;60;M;4600
69.800 kr.;2014;81300;2014-07-14;Benzin;24.4;60;M;4330
73.760 kr.;2014;95000;2013-12-09;Benzin;24.4;60;M;8370
89.900 kr.;2016;48000;2016-03-10;Benzin;24.4;60;M;8270
84.900 kr.;2015;17000;2015-06-16;Benzin;24.4;60;M;4340
64.800 kr.;2016;142000;2016-06-10;Benzin;24.4;60;M;4600
71.900 kr.;2016;71000;2015-07-24;Benzin;24.4;60;M;8930
49.900 kr.;2012;165000;2012-08-31;Benzin;24.4;60;M;7400
69.800 kr.;2013;130000;2012-08-30;Benzin;23.8;75;M;5683
99.900 kr.;2016;93000;2015-11-20;Benzin;24.4;60;M;2630
94.900 kr.;2017;58000;2016-08-19;Benzin;24.4;60;M;8800
49.900 kr.;2014;144000;2014-01-14;Benzin;22.2;60;M;9640
64.500 kr.;2014;169000;2013-09-09;Benzin;24.4;60;M;6200
59.900 kr.;2013;144000;2013-05-21;Benzin;22.2;60;M;6580
62.800 kr.;2014;138000;2014-01-13;Benzin;24.4;60;M;4300
139.500 kr.;2021;33000;2020-12-01;-;32.3;68;M;7120
79.800 kr.;2014;101500;2014-06-24;Benzin;23.8;75;M;4600
114.900 kr.;2018;60000;2018-08-13;Benzin;24.4;60;M;7620
59.900 kr.;2013;136000;2013-06-10;Benzin;24.4;60;M;4300
79.900 kr.;2017;57000;2016-09-19;Benzin;24.4;60;M;8721
52.900 kr.;2013;186000;2013-04-29;Benzin;24.4;60;M;4241
109.900 kr.;2017;64000;2017-05-01;Benzin;24.4;60;M;4200
179.900 kr.;2021;41000;2020-12-28;Benzin;22.9;115;M;3600
49.900 kr.;2016;207000;2016-01-02;Benzin;24.4;60;M;9640
64.900 kr.;2013;128000;2013-02-08;Benzin;24.4;60;M;8210
92.800 kr.;2018;94000;2018-04-11;Benzin;24.4;60;M;4700
189.900 kr.;2021;29500;2020-12-04;Benzin;22.9;115;M;6270
79.900 kr.;2013;240000;2013-03-25;Benzin;22.2;75;A;4500
99.900 kr.;2018;98000;2017-11-24;Benzin;24.4;60;M;8660
84.700 kr.;2013;129000;2013-02-26;Benzin;22.2;75;A;7400
84.900 kr.;2017;156000;2016-10-18;Benzin;24.4;60;A;9310
109.990 kr.;2017;22000;2017-03-29;Benzin;24.4;60;M;4100
69.900 kr.;2013;69000;2013-01-24;Benzin;24.4;60;M;2720
64.900 kr.;2015;164000;2015-03-05;Benzin;24.4;60;M;3400
92.800 kr.;2018;96000;2018-09-17;Benzin;24.4;60;M;4700
71.900 kr.;2014;83000;2014-03-06;Benzin;24.4;60;M;4200
74.900 kr.;2015;87000;2016-08-01;Benzin;24.4;60;M;8660
87.900 kr.;2015;30000;2015-03-03;Benzin;24.4;60;M;4200
69.900 kr.;2013;59427;2013-06-02;Benzin;23.8;75;M;8653
99.700 kr.;2019;76000;2019-03-29;Benzin;26.2;60;M;4600
89.500 kr.;2018;86000;2018-05-04;Benzin;24.4;60;M;5270
54.900 kr.;2012;69000;2012-02-15;Benzin;22.2;60;M;4520
59.700 kr.;2014;166000;2013-12-20;Benzin;24.4;60;M;7400
95.900 kr.;2017;51000;2016-09-22;Benzin;24.4;60;M;7400
89.900 kr.;2017;98700;2016-11-09;Benzin;24.4;60;M;8722
84.900 kr.;2017;98000;2016-08-04;Benzin;24.4;60;M;4300
109.800 kr.;2018;38000;2018-04-25;Benzin;24.4;60;M;9440
59.500 kr.;2012;83000;2012-02-24;Benzin;22.2;60;M;7400
49.700 kr.;2013;157000;2013-04-10;Benzin;23.8;75;M;7400
159.900 kr.;2019;108000;2018-07-06;Benzin;22.9;115;M;6230
95.000 kr.;2018;78000;2018-07-27;Benzin;24.4;60;M;4600
84.500 kr.;2018;101000;2018-02-27;Benzin;24.4;60;M;5270
59.900 kr.;2014;156000;2014-02-05;Benzin;24.4;60;M;6000
106.900 kr.;2018;118000;2017-03-29;Benzin;22.7;90;M;7400
89.900 kr.;2017;90000;2016-11-03;Benzin;24.4;60;M;7400
74.900 kr.;2018;186000;2017-09-29;Benzin;24.4;60;M;7400
114.900 kr.;2018;73000;2018-05-30;Benzin;24.4;60;M;7620
79.700 kr.;2015;82000;2015-03-18;Benzin;24.4;60;M;9200
52.800 kr.;2013;123000;2013-06-21;Benzin;23.8;75;M;4200
68.900 kr.;2013;90000;2013-06-12;Benzin;24.4;60;M;6000
74.900 kr.;2016;122000;2016-01-12;Benzin;24.4;60;M;9640
42.500 kr.;2012;203000;2012-03-27;Benzin;24.4;60;M;5700
119.900 kr.;2019;47000;2019-02-06;Benzin;24.4;60;M;8660
127.800 kr.;2020;23000;2020-02-12;Benzin;25;60;M;9440
119.800 kr.;2020;39000;2019-10-23;Benzin;25;60;M;9440
72.900 kr.;2014;123000;2014-08-11;Benzin;23.8;75;M;9440
64.900 kr.;2014;157000;2014-05-08;Benzin;24.4;60;M;4180
48.700 kr.;2014;218000;2014-04-21;Benzin;22.2;60;M;4600
68.500 kr.;2014;130000;2014-04-02;Benzin;24.4;60;M;8660
135.999 kr.;2020;25900;2020-06-10;Benzin;25;60;M;2670
119.900 kr.;2019;29000;2019-02-28;Benzin;26.2;60;M;8240
69.900 kr.;2015;133000;2015-09-14;Benzin;22.2;60;M;3300
129.800 kr.;2018;34000;2017-04-27;Benzin;24.4;60;A;4690
64.900 kr.;2012;143000;2012-05-10;Benzin;23.8;75;M;8300
119.800 kr.;2019;45000;2019-02-20;Benzin;26.2;60;M;2670
136.500 kr.;2018;5000;2018-06-06;Benzin;24.4;75;M;6622
79.800 kr.;2016;109000;2015-10-28;Benzin;24.4;60;M;8541
89.900 kr.;2016;67000;2016-01-01;Benzin;24.4;60;M;4100
99.800 kr.;2019;91000;2019-05-29;Benzin;26.2;60;M;8800
99.900 kr.;2018;76000;2018-01-04;Benzin;24.4;60;M;6270
49.900 kr.;2013;142000;2013-03-21;Benzin;24.4;60;M;8870
79.900 kr.;2017;79000;2016-10-19;Benzin;24.4;60;M;4760
48.500 kr.;2014;167000;2014-04-30;Benzin;24.4;60;M;2620
129.000 kr.;2020;46000;2020-06-10;Benzin;26.2;60;M;9900
137.000 kr.;2019;9000;2019-07-05;Benzin;26.2;60;M;9900
119.900 kr.;2020;49000;2020-01-01;Benzin;25;60;M;4700
114.800 kr.;2017;80000;2017-08-02;Benzin;22.7;90;M;8783
79.900 kr.;2014;117000;2014-05-14;Benzin;24.4;60;M;5210
63.900 kr.;2014;166000;2013-09-06;Benzin;23.8;75;M;8600
94.900 kr.;2016;66000;2016-01-01;Benzin;24.4;60;M;4100
64.900 kr.;2015;151000;2015-04-08;Benzin;24.4;60;M;8600
116.980 kr.;2019;58000;2019-05-23;Benzin;26.2;60;M;8700
79.980 kr.;2013;65000;2013-04-11;Benzin;23.8;75;M;8700
99.800 kr.;2018;83000;2017-11-24;Benzin;24.4;60;M;8210
89.900 kr.;2018;56000;2017-12-08;Benzin;24.4;60;M;8600
