price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
49.700 kr.;2014;162000;2014-06-03;Benzin;22.2;82;M;9310
184.900 kr.;2022;9000;2022-03-18;Benzin;22.8;75;M;4600
190.000 kr.;2022;1000;2022-06-01;Benzin;22.8;75;M;7100
157.500 kr.;2020;45000;2020-04-01;Diesel;33.3;100;M;4243
152.900 kr.;2020;29000;2020-03-01;Benzin;26.8;75;M;8560
219.900 kr.;2021;16000;2021-12-10;Benzin;22.8;100;M;7500
134.900 kr.;2019;16000;2019-09-16;Benzin;23.4;82;M;7400
109.900 kr.;2018;82000;2018-07-26;Diesel;33.3;100;M;6580
219.800 kr.;2021;41400;2020-11-30;Diesel;34.4;100;M;4600
104.800 kr.;2016;106000;2016-09-07;Diesel;33.3;100;M;9310
109.990 kr.;2017;98451;2017-10-25;Diesel;33.3;100;M;4760
54.900 kr.;2015;163000;2015-06-12;Benzin;22.2;82;M;2600
189.800 kr.;2020;30000;2020-01-02;Benzin;26.2;100;M;7400
79.900 kr.;2016;123000;2016-01-20;Benzin;23.3;82;M;8600
126.800 kr.;2018;82000;2018-01-03;Diesel;33.3;100;M;8800
149.900 kr.;2019;30000;2019-10-25;Benzin;23.4;82;M;2630
274.900 kr.;2021;19789;2021-06-30;Benzin;22.4;100;A;8240
119.900 kr.;2017;55500;2018-01-11;Diesel;33.3;100;M;6710
179.900 kr.;2021;50500;2021-04-07;Benzin;22.8;100;M;8240
59.700 kr.;2012;114000;2012-10-31;Benzin;22.2;82;M;2860
174.900 kr.;2020;66000;2020-01-03;Diesel;34.4;100;M;4600
94.900 kr.;2018;148100;2018-01-31;Diesel;33.3;100;M;4600
108.900 kr.;2017;59000;2017-04-07;Diesel;33.3;100;M;6240
69.500 kr.;2014;44000;2014-11-01;Benzin;22.2;82;M;2200
112.800 kr.;2018;98000;2018-01-30;Diesel;33.3;100;M;9440
118.000 kr.;2019;61000;2019-10-01;Benzin;23.4;82;M;8600
104.995 kr.;2016;91000;2016-05-17;Diesel;33.3;100;M;8700
209.900 kr.;2021;14900;2021-11-26;Benzin;22.8;100;M;6760
49.800 kr.;2014;185000;2014-01-15;Benzin;22.2;82;M;2630
30.000 kr.;2013;255000;2013-05-06;Benzin;23.3;68;M;4243
54.900 kr.;2014;111000;2014-06-27;Benzin;23.3;68;M;2610
194.800 kr.;2020;49000;2020-04-28;Diesel;34.4;100;M;9500
164.900 kr.;2021;20000;2021-01-07;Benzin;26.8;75;M;2605
56.900 kr.;2014;89000;2014-03-01;Benzin;23.3;68;M;3250
149.900 kr.;2019;30000;2019-10-29;Diesel;33.3;100;M;9100
109.900 kr.;2017;88000;2017-07-28;Diesel;33.3;100;M;5580
105.000 kr.;2018;79000;2018-08-01;Diesel;33.3;100;M;2200
128.000 kr.;2019;28000;2018-12-01;Benzin;23.4;82;M;3000
74.800 kr.;2015;116000;2015-01-16;Benzin;22.2;82;M;5210
82.500 kr.;2016;50000;2016-05-01;Benzin;23.3;82;M;4300
214.800 kr.;2020;31000;2020-10-02;Diesel;34.4;100;M;7400
114.900 kr.;2018;104000;2018-06-22;Diesel;33.3;100;M;4600
194.900 kr.;2021;17000;2021-11-17;Benzin;22.8;100;M;4600
59.900 kr.;2017;205000;2017-07-03;Diesel;33.3;100;M;8600
119.990 kr.;2019;98000;2019-06-25;Diesel;30.6;100;M;4760
119.900 kr.;2017;76000;2017-10-13;Diesel;33.3;100;M;8961
59.800 kr.;2015;127000;2015-10-01;Benzin;23.3;82;M;5492
74.980 kr.;2013;49000;2013-03-25;Benzin;22.2;82;M;4320
194.500 kr.;2021;13811;2021-04-07;Benzin;22.8;100;M;4200
79.900 kr.;2018;153000;2018-01-10;Diesel;33.3;100;M;9310
114.900 kr.;2018;43000;2018-01-29;Benzin;23.3;82;M;4700
84.700 kr.;2017;105000;2017-09-07;Diesel;33.3;100;M;9310
34.900 kr.;2012;215000;2013-11-01;Benzin;23.3;68;M;7000
69.900 kr.;2012;181000;2012-07-13;Diesel;29.4;68;A;2650
64.900 kr.;2014;88000;2014-02-18;Benzin;23.3;68;M;2650
94.900 kr.;2017;163000;2017-07-06;Diesel;33.3;100;M;8800
54.900 kr.;2013;107000;2013-03-07;Benzin;23.3;68;M;4700
57.500 kr.;2014;125000;2014-12-01;Benzin;23.3;68;M;4050
48.000 kr.;2012;125000;2013-05-01;Benzin;23.3;68;M;2300
65.000 kr.;2015;205000;2015-11-01;Diesel;33.3;100;M;7323
129.900 kr.;2018;25000;2018-10-09;Benzin;20.8;82;M;4700
149.500 kr.;2019;32600;2019-09-18;Diesel;33.3;100;M;6000
147.880 kr.;2019;34000;2019-10-09;Diesel;33.3;100;M;6000
79.900 kr.;2015;115000;2015-02-05;Benzin;22.2;82;M;7000
59.900 kr.;2015;173000;2015-02-02;Benzin;22.2;82;M;8300
54.990 kr.;2012;130000;2013-09-30;Benzin;23.3;68;M;2630
79.700 kr.;2015;148000;2015-10-23;Benzin;23.3;110;M;4300
38.500 kr.;2012;270000;2012-07-06;Diesel;29.4;68;A;5270
64.900 kr.;2015;232000;2015-11-30;Diesel;33.3;100;M;8641
143.980 kr.;2019;33000;2019-05-15;Benzin;23.4;82;M;6950
89.900 kr.;2016;154000;2016-05-30;Diesel;33.3;100;M;4600
254.900 kr.;2022;7500;2022-01-19;Benzin;22.4;100;A;6000
129.995 kr.;2018;68759;2018-04-19;Diesel;33.3;100;M;8362
54.900 kr.;2014;157000;2014-09-30;Benzin;23.3;68;M;8940
